BILL_ID|CLASS_NAME
1002_J3591_3591061117_04122015|100 Pct Juices
1002_J3591_3591061465_06122015|100 Pct Juices
1002_J3591_3591061850_09122015|100 Pct Juices
1002_J3591_3591061937_09122015|100 Pct Juices
1002_J3591_3591062092_10122015|100 Pct Juices
1002_J3591_3591062369_13122015|100 Pct Juices
1002_J3591_3591062752_17122015|100 Pct Juices
1002_J4857_4857024771_03122015|100 Pct Juices
1002_J4857_4857024956_04122015|100 Pct Juices
1002_J4857_4857025072_05122015|100 Pct Juices
1002_J4857_4857025614_07122015|100 Pct Juices
1002_J4857_4857025716_08122015|100 Pct Juices
1002_J4857_4857025953_09122015|100 Pct Juices
1002_J4857_4857025995_10122015|100 Pct Juices
1002_J4857_4857027235_15122015|100 Pct Juices
1002_J4857_4857027325_16122015|100 Pct Juices
1002_J4857_4857027886_19122015|100 Pct Juices
1002_J4857_4857027922_19122015|100 Pct Juices
1002_J4857_4857028079_20122015|100 Pct Juices
1002_J4857_4857029470_26122015|100 Pct Juices
1002_J4857_4857030093_29122015|100 Pct Juices
1002_J3591_3591061047_03122015|After Shave
1002_J3591_3591061403_06122015|After Shave
1002_J3591_3591061496_06122015|After Shave
1002_J3591_3591062027_10122015|After Shave
1002_J3591_3591062063_10122015|After Shave
1002_J3591_3591064145_29122015|After Shave
1002_J3591_3591064507_31122015|After Shave
1002_J4857_4857024390_01122015|After Shave
1002_J4857_4857025532_07122015|After Shave
1002_J4857_4857026733_13122015|After Shave
1002_J4857_4857027000_14122015|After Shave
1002_J4857_4857027013_14122015|After Shave
1002_J4857_4857028235_20122015|After Shave
1002_J4857_4857028625_22122015|After Shave
1002_J4857_4857030275_30122015|After Shave
1002_J3591_3591060849_02122015|After-Wash
1002_J3591_3591060873_02122015|After-Wash
1002_J3591_3591061343_05122015|After-Wash
1002_J3591_3591061357_05122015|After-Wash
1002_J3591_3591061404_06122015|After-Wash
1002_J3591_3591061538_07122015|After-Wash
1002_J3591_3591061573_07122015|After-Wash
1002_J3591_3591061613_07122015|After-Wash
1002_J3591_3591061616_07122015|After-Wash
1002_J3591_3591061806_08122015|After-Wash
1002_J3591_3591061930_09122015|After-Wash
1002_J3591_3591061955_09122015|After-Wash
1002_J3591_3591062157_11122015|After-Wash
1002_J3591_3591062223_12122015|After-Wash
1002_J3591_3591062427_13122015|After-Wash
1002_J3591_3591062803_18122015|After-Wash
1002_J3591_3591062942_19122015|After-Wash
1002_J3591_3591062993_19122015|After-Wash
1002_J3591_3591063133_20122015|After-Wash
1002_J3591_3591063331_22122015|After-Wash
1002_J3591_3591063503_24122015|After-Wash
1002_J3591_3591064248_30122015|After-Wash
1002_J4857_4857024295_01122015|After-Wash
1002_J4857_4857024334_01122015|After-Wash
1002_J4857_4857024395_01122015|After-Wash
1002_J4857_4857024467_02122015|After-Wash
1002_J4857_4857024474_02122015|After-Wash
1002_J4857_4857024514_02122015|After-Wash
1002_J4857_4857024794_03122015|After-Wash
1002_J4857_4857024884_04122015|After-Wash
1002_J4857_4857024921_04122015|After-Wash
